feature#  answered  unanswered
0 11766 10945
1 1320 961
2 244 316
3 218 227
4 384 373
5 1298 1834
6 1214 1502
7 4902 4352
8 225 347
9 1066 1035
10 2038 2225
11 1820 1671
12 706 914
13 2480 3350
14 910 870
15 949 958
16 637 849
17 789 570
18 759 853
19 3390 3708
20 1030 1526
21 331 273
22 653 870
23 276 385
24 334 416
25 546 594
26 2257 2341
