Topic   	Mean  	   Median		 %Accepted  Avg.Answers
0 		   29233 		305				0.41		1.15
1 		   19294 		325				0.4			1.16
2 		   19050 		332				0.42		1.21
3 		   10718 		280				0.47		1.17
4 		   10213 		313				0.3			1.27
5 		   17473 		253				0.4			1.04
6 		   20863        313				0.45		1.47
7 		   15177        589				0.4			1.07
